231,N,House,Mid Terraced,1985,OM
232,N,Flat,Unknown,1965,LN
233,N,House,Mid Terraced,1990,EA
234,N,House,Semi-Detached,1955,WS
235,N,Flat,Unknown,2005,EM
236,N,Flat,Unknown,1985,WS
237,N,Unknown,Unknown,1900,LN
238,N,House,Mid Terraced,1900,SW
239,N,Flat,Unknown,1876,YH
240,N,Flat,Unknown,1997,LN
241,N,House,Semi-Detached,1915,EA
242,N,House,Mid Terraced,1886,WM
243,N,House,Mid Terraced,1971,WM
244,N,House,Mid Terraced,1930,LN
245,N,House,Semi-Detached,1971,NW
246,N,House,Semi-Detached,1935,LN
247,N,Unknown,Unknown,1991,WM
248,N,Flat,Unknown,1980,LN
249,N,House,Mid Terraced,1993,YH
250,N,Flat,Unknown,2001,NW
251,N,House,Mid Terraced,1970,LN
252,N,Flat,Unknown,2003,NI
253,N,House,Mid Terraced,1900,OS
254,N,House,Mid Terraced,1937,LN
255,N,House,Semi-Detached,2000,OS
256,N,Flat,Unknown,1970,OM
257,N,House,Mid Terraced,2003,EA
258,N,Bungalow,Detached,1970,OS
259,N,House,Semi-Detached,1951,WM
260,N,Bungalow,Semi-Detached,1975,OS
261,N,House,Mid Terraced,1925,WM
262,N,House,Semi-Detached,2014,WS
263,N,Flat,Unknown,1972,WM
264,N,House,Semi-Detached,,OS
265,N,Unknown,Unknown,1950,WM
266,N,Flat,Unknown,1910,NT
267,N,Bungalow,Mid Terraced,1968,NW
268,N,House,Detached,1970,SW
269,N,House,Mid Terraced,1935,LN
270,N,Maisonette,Unknown,1905,LN
271,N,House,Mid Terraced,1970,OM
272,N,House,Semi-Detached,1982,SW
273,N,House,Mid Terraced,1900,LN
274,N,House,Semi-Detached,1985,NW
275,N,House,Mid Terraced,1970,WM
276,N,House,Semi-Detached,1930,YH
277,N,Unknown,Unknown,1890,YH
278,N,House,Mid Terraced,1990,OS
279,N,House,Semi-Detached,1980,OS
280,N,House,Semi-Detached,1935,WM
281,N,House,Detached,1935,NW
282,N,House,Mid Terraced,,EM
283,N,House,Mid Terraced,2004,WM
284,N,House,Mid Terraced,1968,OS
285,N,Flat,Unknown,2005,OM
286,N,House,Semi-Detached,2000,YH
287,N,House,Semi-Detached,1935,YH
288,N,House,Semi-Detached,1996,WM
289,N,Maisonette,Unknown,1900,LN
290,N,House,Mid Terraced,1960,WM
291,N,House,Detached,1960,NW
292,N,Flat,Unknown,1900,LN
293,N,Unknown,Unknown,1930,WM
294,N,Unknown,Unknown,1975,WM
295,N,House,Mid Terraced,1900,NW
296,N,House,Detached,,NW
297,N,House,Detached,1910,OS
298,N,House,Semi-Detached,1890,WM
299,N,House,Detached,1997,NT
300,N,Maisonette,Unknown,1960,OM
301,N,Unknown,Unknown,1947,WM
302,N,House,Mid Terraced,1975,OS
303,N,House,Semi-Detached,1970,EM
304,N,House,Semi-Detached,2005,OM
305,N,House,Detached,2005,YH
306,N,House,Mid Terraced,1935,OM
307,N,House,Detached,1987,WM
308,N,House,Mid Terraced,1900,SW
309,N,House,Mid Terraced,1870,YH
310,N,House,Mid Terraced,1900,OM
311,N,Unknown,Unknown,1937,WM
312,N,House,Detached,1987,WM
313,N,House,Semi-Detached,1962,NT
314,N,House,Mid Terraced,1900,WM
315,N,Flat,Unknown,1992,NW
316,N,Flat,Unknown,2005,OS
317,N,House,Detached,1938,NW
318,N,House,Mid Terraced,1928,NT
319,N,House,Mid Terraced,,YH
320,N,House,Detached,1997,EM
321,N,House,Mid Terraced,1953,WM
322,N,House,Semi-Detached,1935,WM
323,N,House,Semi-Detached,1950,WM
324,N,Flat,Unknown,1850,YH
325,N,House,Semi-Detached,1958,SW
326,N,House,Detached,1997,OM
327,N,House,Mid Terraced,1960,WM
328,N,House,Semi-Detached,2004,SW
329,N,House,Detached,1980,EM
330,N,Flat,Unknown,1900,WM
331,N,House,Mid Terraced,1938,NW
332,N,House,Semi-Detached,1965,EA
333,N,House,Mid Terraced,1970,SW
334,N,House,Semi-Detached,1935,NT
335,N,Flat,Unknown,1990,YH
336,N,House,Mid Terraced,1956,WM
337,N,House,Semi-Detached,,NT
338,N,House,Mid Terraced,1910,EM
339,N,House,Semi-Detached,,YH
340,N,Flat,Unknown,2005,YH
341,N,House,Detached,1975,OS
342,N,House,Mid Terraced,1987,LN
343,N,House,Semi-Detached,1970,EM
344,N,Unknown,Unknown,1950,SW
345,N,House,Mid Terraced,1967,WM
346,N,House,Semi-Detached,1960,WM
347,N,House,Mid Terraced,1900,WM
348,N,House,Mid Terraced,1900,WM
349,N,House,Mid Terraced,1975,EM
350,N,House,Mid Terraced,2005,NT
351,N,House,Mid Terraced,1990,WM
352,N,House,Mid Terraced,1890,YH
353,N,House,Detached,1938,WM
354,N,Flat,Unknown,1900,OS
355,N,House,Semi-Detached,1955,NT
356,N,House,Detached,1975,WM
357,N,Flat,Unknown,1900,SC
358,N,House,Semi-Detached,1935,EM
359,N,House,Mid Terraced,1935,WM
360,N,House,Mid Terraced,1900,YH
361,N,Flat,Unknown,1991,NW
362,N,House,Semi-Detached,1968,OS
363,N,House,Semi-Detached,,YH
364,N,House,Detached,,YH
365,N,House,Semi-Detached,1600,WM
366,N,Maisonette,Unknown,1890,LN
367,N,House,Semi-Detached,1930,SW
368,N,Unknown,Unknown,1937,WM
369,N,House,Detached,,EA
370,N,Unknown,Unknown,1935,WM
371,N,House,Mid Terraced,,EM
372,N,Flat,Unknown,1993,OM
373,N,House,Semi-Detached,1935,WM
374,N,House,Detached,2000,WM
375,N,House,Semi-Detached,1950,WM
376,N,House,Detached,1998,EM
377,N,Flat,Unknown,1985,NT
378,N,House,Semi-Detached,1993,WM
379,N,House,Semi-Detached,1960,EM
380,N,House,Detached,1989,WM
381,N,Unknown,Unknown,1960,WM
382,N,House,Detached,2002,WM
383,N,House,Detached,1930,SW
384,N,House,Semi-Detached,1920,NW
385,N,Flat,Unknown,1970,LN
386,N,House,Semi-Detached,1950,LN
387,N,Maisonette,Unknown,1900,LN
388,N,House,Mid Terraced,1992,EM
389,N,House,Mid Terraced,1900,WM
390,N,House,Mid Terraced,1914,NW
391,N,Flat,Unknown,1975,EM
392,N,House,Semi-Detached,1965,YH
393,N,House,Mid Terraced,2003,EM
394,N,House,Detached,1990,OS
395,N,House,Mid Terraced,1986,OS
396,N,House,Mid Terraced,2003,EM
397,N,House,Semi-Detached,1920,WM
398,N,House,Mid Terraced,1900,YH
399,N,House,Mid Terraced,1960,WM
400,N,House,Mid Terraced,2000,EM
401,N,House,Mid Terraced,1898,OM
402,N,House,Mid Terraced,1986,YH
403,N,Flat,Unknown,2004,OM
404,N,House,Semi-Detached,1950,WM
405,N,House,Semi-Detached,1985,OS
406,N,House,Mid Terraced,2004,NT
407,N,House,Mid Terraced,1928,WM
408,N,House,Semi-Detached,1994,OS
409,N,House,Mid Terraced,1900,SW
410,N,Flat,Unknown,1910,LN
411,N,House,Mid Terraced,1880,NW
412,N,House,Detached,,WM
413,N,House,Semi-Detached,1930,WM
414,N,House,Mid Terraced,1900,NT
415,N,Unknown,Unknown,1967,WM
416,N,House,Detached,1872,SC
417,N,Unknown,Unknown,1990,LN
418,N,Flat,Unknown,1975,SW
419,N,Unknown,Unknown,1965,EM
420,N,House,Mid Terraced,1900,LN
421,N,House,Mid Terraced,1968,WM
422,N,Bungalow,Detached,1985,EA
423,N,Bungalow,Detached,1960,OS
424,N,House,Mid Terraced,1965,NW
425,N,Flat,Unknown,1990,WM
426,N,House,Semi-Detached,1938,EA
427,N,House,Mid Terraced,1905,WM
428,N,Unknown,Unknown,1933,WM
429,N,House,Semi-Detached,1935,YH
430,N,House,Detached,2001,YH
431,N,Unknown,Unknown,1930,WM
432,N,House,Mid Terraced,1935,SW
433,N,House,Detached,1995,SW
434,N,House,Mid Terraced,1955,WM
